Country,Index,GDP
Afghanistan,16,14.79
Albania,35,18.26
Algeria,33,163
Angola,29,67.4
Argentina,38,487
Armenia,49,13.86
Australia,73,1553
Austria,74,480
Azerbaijan,30,54.62
Bahamas,64,11.21
Bahrain,42,38.87
Bangladesh,26,416
Barbados,65,4.84
Belarus,41,68.21
Belgium,73,594
Benin,42,17.14
Bhutan,68,2.54
Bolivia,30,40.41
Bosnia and Herzegovina,35,23.37
Botswana,55,17.61
Brazil,38,1609
Brunei,60,14.01
Bulgaria,42,84.06
Burkina Faso,42,19.74
Burundi,19,2.78
Cambodia,23,26.96
Cameroon,27,45.34
Canada,74,1988
Cape Verde,58,1.94
Central African Republic,24,2.52
Chad,20,11.78
Chile,67,317
China,45,17734
Colombia,39,314
Comoros,20,1.3
Congo,21,53.96
Costa Rica,58,64.28
Croatia,47,68.96
Cuba,46,107
Cyprus,53,28.41
Czech Republic,54,282
Denmark,88,398
Djibouti,30,3.48
Dominica,55,0.55
Dominican Republic,30,94.24
East Timor,41,1.96
Ecuador,36,106
Egypt,33,404
El Salvador,34,28.74
Equatorial Guinea,17,12.27
Estonia,74,37.19
Ethiopia,39,111
Finland,88,297
France,71,2958
Gabon,31,20.22
Gambia,37,2.08
Georgia,55,18.63
Germany,80,4260
Ghana,43,77.59
Greece,49,215
Grenada,53,1.12
Guatemala,25,85.99
Guinea,25,16.09
Guinea Bissau,21,1.64
Guyana,39,8.04
Haiti,20,20.94
Honduras,23,28.49
Hong Kong,76,368
Hungary,43,182
Iceland,74,25.6
India,40,3176
Indonesia,38,1186
Iran,25,232
Iraq,23,208
Ireland,74,504
Israel,59,489
Italy,56,2108
Ivory Coast,36,69.76
Jamaica,44,14.66
Japan,73,4941
Jordan,49,45.74
Kazakhstan,37,197
Kenya,30,110
Kosovo,39,9.41
Kuwait,43,106
Kyrgyzstan,27,8.54
Laos,30,18.83
Latvia,59,39.85
Lebanon,24,23.13
Lesotho,38,2.5
Liberia,29,3.51
Libya,17,42.82
Lithuania,61,66.45
Luxembourg,81,85.51
Macedonia,39,13.88
Madagascar,26,14.47
Malawi,35,12.63
Malaysia,48,373
Maldives,40,5.41
Mali,29,19.14
Malta,54,17.36
Mauritania,28,10
Mauritius,54,11.53
Mexico,31,1273
Moldova,36,13.68
Mongolia,35,15.29
Montenegro,46,5.86
Morocco,39,143
Mozambique,26,15.78
Myanmar,28,65.09
Namibia,49,12.31
Nepal,33,36.29
Netherlands,82,1013
New Zealand,88,250
Nicaragua,20,14.01
Niger,31,14.92
Nigeria,24,441
Norway,85,482
Oman,52,88.19
Pakistan,28,348
Panama,36,63.61
Papua New Guinea,31,26.59
Paraguay,30,39.5
Peru,36,223
Philippines,33,394
Poland,56,679
Portugal,62,254
Qatar,63,180
Republic of the Congo,19,12.52
Romania,45,284
Russia,29,1776
Rwanda,53,11.07
Sao Tome and Principe,45,0.53
Saudi Arabia,53,834
Senegal,43,27.63
Serbia,38,63.08
Seychelles,70,1.45
Sierra Leone,34,4.04
Singapore,85,397
Slovakia,52,115
Slovenia,57,61.75
Solomon Islands,43,1.63
Somalia,13,7.63
South Africa,44,419
South Korea,62,1799
Spain,61,1427
Sri Lanka,37,88.93
St Lucia,56,1.76
St Vincent and the Grenadines,59,0.89
Sudan,20,34.33
Suriname,39,2.98
Swaziland,32,4.74
Sweden,85,636
Switzerland,84,801
Taiwan,68,775
Tajikistan,25,8.75
Tanzania,39,67.84
Thailand,35,506
Togo,30,8.41
Trinidad and Tobago,41,24.46
Tunisia,44,46.69
Turkey,38,819
Turkmenistan,19,45.23
Uganda,27,40.53
Ukraine,32,200
United Arab Emirates,69,415
United Kingdom,78,3131
United States,67,23315
Uruguay,73,59.32
Uzbekistan,28,69.24
Vanuatu,45,0.96
Venezuela,14,106
Vietnam,39,366
Yemen,16,21.06
Zambia,33,22.15
Zimbabwe,23,28.37
