Country,GDP
Afghanistan,14.79
Albania,18.26
Algeria,163
Andorra,3.33
Angola,67.4
Antigua And Barbuda,1.47
Argentina,487
Armenia,13.86
Aruba,3.13
Australia,1553
Austria,480
Azerbaijan,54.62
Bahamas,11.21
Bahrain,38.87
Bangladesh,416
Barbados,4.84
Belarus,68.21
Belgium,594
Belize,2.49
Benin,17.14
Bhutan,2.54
Bolivia,40.41
Bosnia and Herzegovina,23.37
Botswana,17.61
Brazil,1609
Brunei,14.01
Bulgaria,84.06
Burkina Faso,19.74
Burundi,2.78
Cambodia,26.96
Cameroon,45.34
Canada,1988
Cape Verde,1.94
Central African Republic,2.52
Chad,11.78
Chile,317
China,17734
Colombia,314
Comoros,1.3
Congo,53.96
Costa Rica,64.28
Croatia,68.96
Cuba,107
Cyprus,28.41
Czech Republic,282
Denmark,398
Djibouti,3.48
Dominica,0.55
Dominican Republic,94.24
East Timor,1.96
Ecuador,106
Egypt,404
El Salvador,28.74
Equatorial Guinea,12.27
Estonia,37.19
Ethiopia,111
Euro Area,14563
European Union,17177
Fiji,4.3
Finland,297
France,2958
Gabon,20.22
Gambia,2.08
Georgia,18.63
Germany,4260
Ghana,77.59
Greece,215
Greenland,3.08
Grenada,1.12
Guatemala,85.99
Guinea,16.09
Guinea Bissau,1.64
Guyana,8.04
Haiti,20.94
Honduras,28.49
Hong Kong,368
Hungary,182
Iceland,25.6
India,3176
Indonesia,1186
Iran,232
Iraq,208
Ireland,504
Israel,489
Italy,2108
Ivory Coast,69.76
Jamaica,14.66
Japan,4941
Jordan,45.74
Kazakhstan,197
Kenya,110
Kiribati,0.21
Kosovo,9.41
Kuwait,106
Kyrgyzstan,8.54
Laos,18.83
Latvia,39.85
Lebanon,23.13
Lesotho,2.5
Liberia,3.51
Libya,42.82
Lithuania,66.45
Luxembourg,85.51
Macau,29.91
Macedonia,13.88
Madagascar,14.47
Malawi,12.63
Malaysia,373
Maldives,5.41
Mali,19.14
Malta,17.36
Marshall Islands,0.26
Mauritania,10
Mauritius,11.53
Mexico,1273
Micronesia,0.4
Moldova,13.68
Monaco,8.6
Mongolia,15.29
Montenegro,5.86
Morocco,143
Mozambique,15.78
Myanmar,65.09
Namibia,12.31
Nepal,36.29
Netherlands,1013
New Caledonia,9.44
New Zealand,250
Nicaragua,14.01
Niger,14.92
Nigeria,441
Norway,482
Oman,88.19
Pakistan,348
Palau,0.22
Palestine,18.04
Panama,63.61
Papua New Guinea,26.59
Paraguay,39.5
Peru,223
Philippines,394
Poland,679
Portugal,254
Puerto Rico,107
Qatar,180
Republic of the Congo,12.52
Romania,284
Russia,1776
Rwanda,11.07
Samoa,0.84
Sao Tome and Principe,0.53
Saudi Arabia,834
Senegal,27.63
Serbia,63.08
Seychelles,1.45
Sierra Leone,4.04
Singapore,397
Slovakia,115
Slovenia,61.75
Solomon Islands,1.63
Somalia,7.63
South Africa,419
South Korea,1799
Spain,1427
Sri Lanka,88.93
St Kitts and Nevis,0.98
St Lucia,1.76
St Vincent And The Grenadines,0.89
Sudan,34.33
Suriname,2.98
Swaziland,4.74
Sweden,636
Switzerland,801
Taiwan,775
Tajikistan,8.75
Tanzania,67.84
Thailand,506
Togo,8.41
Tonga,0.47
Trinidad and Tobago,24.46
Tunisia,46.69
Turkey,819
Turkmenistan,45.23
Uganda,40.53
Ukraine,200
United Arab Emirates,415
United Kingdom,3131
United States,23315
Uruguay,59.32
Uzbekistan,69.24
Vanuatu,0.96
Venezuela,106
Vietnam,366
World,96513
Yemen,21.06
Zambia,22.15
Zimbabwe,28.37
